"country","top_customer_count","all_customer_count"
"India",0,60
"China",1,53
"United States",1,36
"Japan",0,31
"Mexico",1,30
"Brazil",0,28
"Russian Federation",0,28
"Philippines",0,20
"Turkey",1,15
"Indonesia",1,14
"Nigeria",0,13
"Argentina",0,13
"South Africa",0,11
"Taiwan",0,10
"United Kingdom",0,9
"Iran",0,8
"Poland",0,8
"Italy",0,7
"Germany",0,7
"Venezuela",0,7
"Egypt",0,6
"Ukraine",0,6
"Vietnam",0,6
"Colombia",0,6
"Spain",0,5
"Canada",0,5
"Saudi Arabia",0,5
"Netherlands",0,5
"Pakistan",0,5
"South Korea",0,5
"Peru",0,4
"France",0,4
"Yemen",0,4
"Israel",0,4
"Algeria",0,3
"Switzerland",0,3
"Tanzania",0,3
"United Arab Emirates",0,3
"Morocco",0,3
"Bangladesh",0,3
"Chile",0,3
"Thailand",0,3
"Malaysia",0,3
"Austria",0,3
"Paraguay",0,3
"Mozambique",0,3
"Ecuador",0,3
"Dominican Republic",0,3
"Sudan",0,2
"Bolivia",0,2
"Greece",0,2
"Belarus",0,2
"Bulgaria",0,2
"Yugoslavia",0,2
"Cambodia",0,2
"Cameroon",0,2
"Romania",0,2
"Puerto Rico",0,2
"Kazakstan",0,2
"Kenya",0,2
"Angola",0,2
"Latvia",0,2
"Azerbaijan",0,2
"Congo, The Democratic Republic of the",0,2
"Oman",0,2
"Myanmar",0,2
"French Polynesia",0,2
"Zambia",0,1
"American Samoa",0,1
"Anguilla",0,1
"Armenia",0,1
"Bahrain",0,1
"Brunei",0,1
"Chad",0,1
"Czech Republic",0,1
"Estonia",0,1
"Ethiopia",0,1
"Faroe Islands",0,1
"Finland",0,1
"French Guiana",0,1
"Gambia",0,1
"Greenland",0,1
"Holy See (Vatican City State)",0,1
"Hong Kong",0,1
"Hungary",0,1
"Iraq",0,1
"Kuwait",0,1
"Liechtenstein",0,1
"Lithuania",0,1
"Madagascar",0,1
"Malawi",0,1
"Moldova",0,1
"Nauru",0,1
"Nepal",0,1
"New Zealand",0,1
"North Korea",0,1
"Runion",0,1
"Saint Vincent and the Grenadines",0,1
"Senegal",0,1
"Slovakia",0,1
"Sri Lanka",0,1
"Sweden",0,1
"Tonga",0,1
"Tunisia",0,1
"Turkmenistan",0,1
"Tuvalu",0,1
"Virgin Islands, U.S.",0,1
"Afghanistan",0,1
